,input_text,target_text
3023,"Após uma discussão com os pais, deixou o lar em maio de 2006 para nunca mais aparecer. ","Após uma discussão com os pais, deixou o lar em maio de 2006 para nunca mais aparecer. "
3453,"Jennifer leonard, da Universidade da Califórnia em Los Angeles, e colegas de instituições do Peru e do México procuraram verificar o material genético de raças de cachorro sabidamente anteriores à chegada dos europeus. ",Jennifer Leonard é da Universidade da Califórnia em Los Angeles. 
196,"Macalão ingressou no Legislativo em 1978, como servente, e até ser afastado por causa da fraude, em maio, recebia um salário de aproximadamente R$ 17 mil. ",Macalão entrou na Assembléia Legislativa em 1978 como servente. 
959,"Quase a metade das 4,8 mil toneladas métricas de óleo que o Volganeft-139 carregava vazou. ","O Volganeft-139 carregava 4,8 mil toneladas métricas de óleo. "
2511,"A iniciativa havia sofrido resistências na primeira vez em que tentou abordar o assunto, logo depois que assumiu a presidência do Senado, após a licença de Renan Calheiros (PMDB-AL). ","A iniciativa havia sofrido resistências na primeira vez em que tentou levantar o assunto, logo depois que assumiu a presidência do Senado. "
1101,"Uma estudante gaúcha de 18 anos, uma das 22 pessoas que participaram de um grupo de discussão coordenado pelos organizadores do levantamento na Capital, é um exemplo de como muitos jovens criticam o comportamento dos demais, mas também incorrem em irregularidades. ","Uma estudante gaúcha de 18 anos é um exemplo de como muitos jovens criticam o comportamento dos demais, mas também cometem faltas. "
1551,"O destino é Haifa, a terceira maior cidade israelense, há nove dias sob fogo cerrado dos foguetes Katiusha da guerrilha xiita do Hezbollah. ",O destino é Haifa. 
1638,Os bombeiros chegaram e só conseguiram isolar a área. ,Os bombeiros chegaram. 
1711,"O nosso foco é a pirataria e a venda ilegal de fogos de artifício -- diz Léo Antônio Bulling, diretor da Fiscalização da Smic. ",O nosso foco é a pirataria e a venda ilegal de fogos de artifício -- diz Léo Antônio Bulling. 
1135,"O ex-presidente chileno Ricardo Lagos circula nos corredores da conferência como emissário do secretário-geral da ONU, Ban Ki-moon, tentando viabilizar um acordo. ",O ex-presidente chileno Ricardo Lagos circula nos corredores da conferência como enviado do secretário-geral da ONU. 
1978,"A medida está em análise, porque existe capacidade para 2,5 bilhões de litros -- três vezes mais do que o necessário para atender ao abastecimento da nova mistura do combustível, chamado de B2. ","A medida está em análise, porque existe capacidade para 2,5 bilhões de litros, três vezes mais do que o necessário para atender ao fornecimento da nova mistura do combustível, chamado de B2. "
366,"No evento em Lisboa, personalidades de Hollywood, como a atriz Hillary Swank (Menina de Ouro) e Ben Kingsley (A Lista de Schindler), estarão encarregadas de anunciar os vitoriosos em meio aos shows da cantora e atriz Jennifer Lopez e do tenor José Carreras, entre outros. ",Personalidades de hollywood anunciarão os vitoriosos no evento em Lisboa. 
2186,É improvável que a atual massa polar supere esta marca. ,Não é provável que a atual massa que vem do pólo Sul vá mais alto que esta marca. 
